(TTTC)n	picluster	TE	63	.	.	.	.	18725	18787	100	RM
(TAT)n	picluster	TE	30	.	.	.	.	20937	20966	100	RM
(GT)n	picluster	TE	26	.	.	.	.	65116	65141	100	RM
(T)n	picluster	TE	25	.	.	.	.	16911	16935	100	RM
(TCAT)n	picluster	TE	25	.	.	.	.	93927	93951	100	RM
(CA)n	picluster	TE	21	.	.	.	.	76323	76343	100	RM
(A)n	picluster	TE	18	.	.	.	.	62668	62685	100	RM
SINE2/tRNA:Pre0_SS:Sus	picluster	TE	260	.	.	.	.	27815	27556	95.7	RM
(CACT)n	picluster	TE	23	.	.	.	.	98477	98499	95.5	RM
(CTTT)n	picluster	TE	47	.	.	.	.	5828	5874	95.4	RM
ERV1:ERV1N2_SScLTR:Sus	picluster	TE	417	.	.	.	.	70375	69959	95.2	RM
(TA)n	picluster	TE	21	.	.	.	.	33939	33959	95.1	RM
(GCCT)n	picluster	TE	21	.	.	.	.	70879	70899	95.1	RM
(CCCT)n	picluster	TE	41	.	.	.	.	67431	67471	94.6	RM
SINE2/tRNA:Pre0_SS:Sus	picluster	TE	260	.	.	.	.	102299	102558	92.3	RM
ERV1:ERV1N1_SScLTR:Sus	picluster	TE	350	.	.	.	.	76874	76525	92.2	RM
ERV1:MER41_BT:Bos	picluster	TE	50	.	.	.	.	19665	19714	92	RM
SINE2/tRNA:Pre0_SS:Sus	picluster	TE	179	.	.	.	.	1	179	91.6	RM
ERV1:MER41B_SSLTR:Sus	picluster	TE	90	.	.	.	.	5240	5151	91.1	RM
ERV1:MER41_SSLTR:Sus	picluster	TE	132	.	.	.	.	6238	6107	90.9	RM
SINE2/tRNA:PRE1_SS:Sus	picluster	TE	248	.	.	.	.	105437	105684	90.7	RM
SINE2/tRNA:PRE1_SS:Sus	picluster	TE	243	.	.	.	.	19038	18796	90.5	RM
ERV1:MER41B_SSLTR:Sus	picluster	TE	324	.	.	.	.	5827	5504	89.7	RM
ERV1:MER41B_SSLTR:Sus	picluster	TE	19	.	.	.	.	5893	5875	89.7	RM
