(TTTC)n	picluster	Gene	63	.	.	.	.	18725	18787	100	RM
(TAT)n	picluster	Gene	30	.	.	.	.	20937	20966	100	RM
(GT)n	picluster	Gene	26	.	.	.	.	65116	65141	100	RM
(T)n	picluster	Gene	25	.	.	.	.	16911	16935	100	RM
(TCAT)n	picluster	Gene	25	.	.	.	.	93927	93951	100	RM
(CA)n	picluster	Gene	21	.	.	.	.	76323	76343	100	RM
(A)n	picluster	Gene	18	.	.	.	.	62668	62685	100	RM
SINE2/tRNA:Pre0_SS:Sus	picluster	Gene	260	.	.	.	.	27815	27556	95.7	RM
(CACT)n	picluster	Gene	23	.	.	.	.	98477	98499	95.5	RM
(CTTT)n	picluster	Gene	47	.	.	.	.	5828	5874	95.4	RM
ERV1:ERV1N2_SScLTR:Sus	picluster	Gene	417	.	.	.	.	70375	69959	95.2	RM
(TA)n	picluster	Gene	21	.	.	.	.	33939	33959	95.1	RM
(GCCT)n	picluster	Gene	21	.	.	.	.	70879	70899	95.1	RM
(CCCT)n	picluster	Gene	41	.	.	.	.	67431	67471	94.6	RM
SINE2/tRNA:Pre0_SS:Sus	picluster	Gene	260	.	.	.	.	102299	102558	92.3	RM
ERV1:ERV1N1_SScLTR:Sus	picluster	Gene	350	.	.	.	.	76874	76525	92.2	RM
ERV1:MER41_BT:Bos	picluster	Gene	50	.	.	.	.	19665	19714	92	RM
SINE2/tRNA:Pre0_SS:Sus	picluster	Gene	179	.	.	.	.	1	179	91.6	RM
ERV1:MER41B_SSLTR:Sus	picluster	Gene	90	.	.	.	.	5240	5151	91.1	RM
ERV1:MER41_SSLTR:Sus	picluster	Gene	132	.	.	.	.	6238	6107	90.9	RM
SINE2/tRNA:PRE1_SS:Sus	picluster	Gene	248	.	.	.	.	105437	105684	90.7	RM
SINE2/tRNA:PRE1_SS:Sus	picluster	Gene	243	.	.	.	.	19038	18796	90.5	RM
ERV1:MER41B_SSLTR:Sus	picluster	Gene	324	.	.	.	.	5827	5504	89.7	RM
ERV1:MER41B_SSLTR:Sus	picluster	Gene	19	.	.	.	.	5893	5875	89.7	RM
ERV1:LTR39A2_SSc:Sus	picluster	Gene	563	.	.	.	.	71879	71317	89.6	RM
SINE2/tRNA:Pre0_SS:Sus	picluster	Gene	260	.	.	.	.	4412	4671	89.6	RM
